destination_actual_icao,braking_coefficient
VOMM,0.014452767
VIDP,0.025775285
VOBL,-0.065380004
VOCL,0.028658436
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
VEGT,0.050081448
VABB,0.022395436
VEPT,-0.040301228
OERK,0.012172169
VOMM,-0.030022469
VOCI,-0.013663956
VIDP,
VECC,-0.064538558
VABB,-0.034696129
VGHS,-0.012775049
ZPPP,-0.019095596
VEGT,0.021144601
VIDP,0.050489415
WSSS,
UGKO,0.022601396
OMDB,0.056612747
VOGO,0.054041403
VABB,0.049122802
,
VABB,0.06744617
VOCI,0.031956661
VECC,0.075731772
VIDP,0.02550424
OMDB,
VABB,-0.013821496
VABB,-0.02905957
VOGO,-0.041709089
VIDP,0.043049219
VIDP,0.022158078
VIDP,0.02335187
VIDP,0.115340466
VEPT,0.021246924
VABB,-0.186055672
OMDB,0.084338007
VEGT,0.015667963
VIJU,-0.04631144
VECC,0.038642865
VOBL,0.077092082
VIDP,0.055685963
VOGO,0.010975923
VECC,0.002175851
VIDP,0.072608177
,
VIDP,-0.033375064
VIDP,-0.01474286
VIDP,0.107877296
,
VOGO,0.083705491
VIJU,0.007460043
VOMM,0.060997278
VEBD,0.022605736
VISR,
VIDP,-0.020999755
OMDB,0.020439936
VIDP,0.006119225
VECC,0.014382692
VOHS,
VIJU,-0.013875424
VOMM,0.088901595
VOMM,0.009852831
VABB,-0.023949921
VECC,0.050668548
VAAH,-0.040562609
VABB,0.005768994
VEGT,0.026760419
VOBL,-0.004957853
VIDP,0.028635616
VIJP,0.024921062
VABB,-0.021703077
VOML,0.035084165
,
VECC,0.003976463
VOMD,-3.87E-05
VVNB,
VOBL,-0.066060636
VEPT,0.032782869
VIDP,0.004604493
VERC,-0.037976966
OMDB,0.031186517
VIDP,0.036528075
VAJM,
VEGT,0.014542166
VIDP,0.067152487
VIDP,0.03786706
VIAR,0.063038843
VABB,0.077685341
VOBL,-0.033216474
VIDP,0.061011791
VIDP,0.007548119
VOGO,0.01750342
VECC,-0.006537124
VOHS,0.074456995
VILH,0.062791309
OMDB,0.034183853
VIJP,-0.011374979
VECC,0.061203121
VOBM,0.075841651
VISR,-0.013705991
VIJP,
VEBD,-0.044968422
VIDP,-0.005654776
VEDG,0.036294919
VISR,-0.00560922
VOBL,-0.026784178
,
VIJU,-0.008119529
VIDP,0.083219365
VECC,0.012274337
VIDP,0.0247864
VIDP,-0.032964003
VOMM,0.042505421
OMRK,-0.051020799
VIDP,0.052142263
VIDP,0.018872877
VECC,0.018472731
VABB,-0.027023427
,
VABB,-0.018749345
VIDP,0.02838487
VIDP,-0.020056227
VABB,-0.082901568
VOCI,0.067383571
VAPO,
VOMD,0.051166691
VAUD,0.067915656
OERK,-0.008573797
VOMM,0.002218912
VOGO,
VILH,-0.0432808
VIDP,0.043441903
VIDP,
VASU,0.028514172
VAPO,
,
VABB,0.039139607
LIRF,0.048501161
VIDP,0.05819121
VAAH,0.018183341
VECC,0.020396793
VIDP,0.028476483
VEBN,0.020775545
VIDP,
VIDP,0.0126943
VABB,-0.014805617
VABB,-0.004921208
VIDP,0.05790525
VECC,0.062537663
VOGO,0.019659244
VABB,0.054120402
VOMM,-0.012510255
VOCI,0.08430521
VOMM,0.081756815
VECC,0.009143187
VIDP,-0.041780218
VOHS,0.089126889
VIDP,-0.010910431
VECC,0.018819413
VECC,0.123821787
VISR,
VOBL,-0.020671288
VIDP,0.057193833
VECC,0.065409909
VEPT,-0.024677035
VIDP,0.10469845
VEPT,0.032386451
VABB,0.004700187
VOBL,
VEPT,-0.037323785
VOBL,
,
VIDP,-0.047385385
VIJP,0.006220347
VECC,
VECX,0.094964998
VECC,0.0135809
VAPO,0.030856755
VECC,-0.050866741
VABB,0.056287444
VOML,0.05410757
VIJR,0.07849202
OMDB,
OMRK,0.023762169
VIJO,
VIDP,0.090959413
VIDP,-0.003578819
VEBD,-0.00972025
VOMM,0.075216804
VIDP,-0.003345754
VOHS,-0.019915881
VIDP,0.025287807
VEPT,
VEGK,0.043452563
VABB,0.02700636
VOMM,0.013982875
VAPO,0.087480754
VIDP,-0.022405057
OMDB,0.096023324
VECC,0.010826877
VAAH,-0.013068599
VOHS,
VEPT,-0.005346087
VEPT,0.052913235
VISR,0.059568192
VABB,0.021482094
VEBD,0.039410125
VAAH,-0.009764579
VEDG,-0.020915899
VAPO,0.037862199
VECC,0.060324868
VIDP,0.079670197
VECC,0.012139937
OMDB,-0.028941782
VISR,-0.009766809
VEDG,0.011469876
VEPT,0.031262278
VOBL,-0.026974004
VIDP,0.061623299
VECC,-0.000277049
VOMM,0.01388138
VOGO,-0.008463688
VECC,0.085353134
VOHS,0.086873031
VECC,0.060668491
VIJU,0.025115825
VOGO,0.045438925
VISR,
VECC,0.088876789
VIJU,0.024081969
VECC,
VGHS,-0.021501991
VECC,0.053208804
VISR,0.066003947
VIDP,0.066320955
OEJN,-0.026657719
VIDP,0.004428053
VEGT,0.00695539
VOMM,0.027657241
VHHH,-0.004476316
VIJP,-0.036171175
VECC,0.037792198
VEBD,-0.006870792
VEBD,-0.002184065
VIDP,0.0458914
VEPT,0.045601547
VOMM,0.00576784
VIDP,-0.028187585
VAAH,0.034758849
VCBI,0.009242314
VEPT,0.089599014
VECC,0.019770238
VIDP,-0.007730321
VECX,-0.008982646
VOMM,0.011030306
VOGO,0.004288612
VIDP,0.062682222
VECC,0.021482419
VEGK,0.078886315
VIDP,0.104499563
VIDP,0.019299015
VOCI,-0.056888083
VOHS,
VABB,
VEGK,0.038775857
VECC,0.008082401
VECC,-0.005863535
WSSS,0.060764935
VABB,-0.025877847
VAAH,0.017473345
VIDP,-0.029781394
VECC,0.027384178
VISR,
VOBL,-0.014683339
VISR,-0.043798444
VOHS,0.031767105
VEGT,-0.016468826
VIDP,0.004459194
VISR,0.035011835
VIJP,0.005607094
VABB,-0.024478224
VOMM,-0.017371532
VIDP,0.038244972
VOBL,0.008110289
VIJU,-0.042279078
VOCL,0.049429888
VIDP,0.069892147
VAPO,0.065386384
VIDP,0.045153232
VOBL,0.065765306
VAUD,-0.025390598
VEBD,-0.00645146
VEGT,0.000648591
VIDP,0.085412014
WSSS,0.030430305
VABB,0.041846806
VOBL,0.068872559
VIDP,0.048792682
VIDP,0.025441379
VIJP,
VABB,0.012414887
VOBL,-0.012853827
VOHS,
VOBL,0.115712608
VOGO,-0.018234471
VOHS,-0.069857818
VECC,0.022888441
VIDP,
VAAH,0.00893955
VIDP,-0.010927878
VIDP,-0.020538712
VIDP,0.048803528
VABB,0.006665472
VIDP,0.064314525
VABB,-0.044377492
VEDG,0.015675743
VIDP,0.033205652
VIDP,0.053851515
VOHS,-0.009887682
VABB,
OERK,0.003876934
VECC,0.014872655
VEDG,0.028227444
VABB,0.07989833
VIDP,-0.059586267
VABB,
VAUD,
VECC,0.022568846
VOHS,0.129500053
VECC,0.035845623
VIDP,0.05045602
VABB,-0.002007367
OMDB,0.020729457
VOMM,-0.012430871
VIDP,0.034817285
VECC,0.028134166
VECC,-0.064561663
VIDP,0.017884989
VEGT,0.024208796
VOBL,0.0774126
VABB,-0.035293132
OMDB,-0.027469538
VIDP,-0.008876378
VIDP,0.073459144
VIDP,0.022213196
VEPT,0.002265055
VAAH,-0.015279473
VABB,
VIDP,
VIDP,0.010038597
VIDP,0.064265543
VABB,-0.005433441
VIDP,0.15953795
VEKU,0.019929252
VECC,0.033030972
VOCI,0.00138925
VECC,-0.042553482
VIDP,
VEGT,-0.049248401
VOMM,-0.029659687
VAPO,0.027766348
VOML,-0.068086733
VABB,0.047335742
VOMD,-0.000523636
VILH,
VHHH,-0.004612076
VOCL,0.025025158
VEGT,-0.005622634
VAAH,0.04769658
VIDP,0.054628375
VOBL,0.047519727
VAAH,-0.005309917
VAUD,-0.003577873
VIDP,-0.003928321
VECC,0.070459137
VECC,0.082824028
VAAH,0.045015634
VOBL,0.055482566
VABB,0.017869442
OMDB,0.011822772
VIDP,0.044601389
VIDP,0.079981771
VOMM,0.039558464
VAAH,0.027253694
,
VOGO,0.005086374
VAPO,-0.025589963
VIDP,
VIDP,0.037052127
VIDP,
VOBL,0.038947701
VOBL,-0.022208163
,
VAAH,0.04761275
VOGO,0.034381008
VIDP,0.087685968
VABB,-0.013975846
VOGO,0.017847365
VECC,0.060746285
VEGK,0.059762279
VECC,0.048528481
VOBL,0.014790635
VOBL,-0.023229705
VILH,
VOBL,0.036617823
VAAH,0.004442714
VEGT,0.07025551
VEGT,-0.00533672
VECC,
VIDP,0.023934557
VABB,0.08032747
VISR,0.016063357
VIDP,0.020740143
VIDP,0.023835562
VIDP,0.021086648
VIDP,0.08691981
VEBD,0.063260432
VOGO,-0.014784236
ZHHH,0.019679765
VOBL,0.009086247
VEGK,-0.015008568
VOML,0.01320821
VECC,0.064805008
VABB,-0.038930265
VABB,0.007196353
VEDG,0.007478251
VABB,0.05061508
VIDP,0.03823171
OMRK,-0.110190078
VOBL,-0.006637205
VOPB,0.070017358
VABB,0.087900781
VIAR,0.086485987
VIDP,0.062732619
VECC,0.047366859
VOGO,0.001571627
VIJU,-0.008841787
VABB,0.027119837
VIJU,0.001383495
VABB,0.090897524
VIDP,0.072892023
VEBD,0.034841632
VIDP,0.010850889
OMRK,0.000604054
VOMM,0.056894168
VIDP,0.112577738
VIDP,0.05228309
VEPT,-0.021627088
VECC,0.06549227
VECC,0.023991441
VABB,0.056855597
VOBL,0.065129808
VABB,0.00240229
VABB,0.013547804
VAAH,0.028028424
OMDB,0.014347114
VIDP,0.002137633
VOGO,0.081900704
VIDP,
VOGO,0.037830946
VAUD,0.012021156
VEPT,-0.024435641
VIDP,0.088061383
,
VIDP,0.030977315
VOBL,-0.002341505
VIDP,0.006485881
VABB,0.030876987
VOBL,-0.023212951
VABB,-0.048475127
VABB,-0.011748008
VOBL,0.010776358
VOBL,0.003158385
VOMM,0.04056918
VEGT,0.021013046
,
VOMM,0.048134364
VOCI,-0.072228246
VECX,0.115942535
VIBN,
VABB,0.024623307
VOMM,0.086106924
VOML,0.026419778
VOBL,
VOHS,0.068437266
VECC,-0.032212168
VIDP,-0.018602852
VIDP,0.013350655
VIDP,0.071914775
VOML,0.000395752
VOBL,0.023366653
VEBD,0.018761575
VIDP,0.027083904
VIDP,-0.047678896
VABB,0.008927315
VEPT,-0.060247532
VOPB,0.059321083
VOBL,-0.002127716
VIDP,0.080925356
VOBL,
,
VIDP,0.002914365
VOMM,0.073349059
VABB,0.035745661
VOBL,0.124040149
VABB,0.052131802
VECC,0.018078122
VABB,
VABB,-0.028968257
VILH,
VOBL,0.027627847
VECC,0.100365541
OMDB,
VABB,0.109444805
VECC,
VGHS,0.002420804
VOPB,-0.020654428
VOMM,-0.037499311
VABB,0.095012696
VOTP,0.067247613
VOGO,0.048754047
VOGO,-0.002904833
VIDP,
VABB,0.061457494
VOMD,0.053469745
VECC,0.099597331
VIDP,0.01725132
VIDP,0.050842367
VILH,0.094636241
VOCI,-0.036012677
VECC,-0.033149717
,
VEGK,0.030830075
